Date,Total Cases,New Cases,New Cases 7-Day Moving Average,Case Growth,Cases Growth 7DMA,Total Deaths,New Deaths,New Deaths 7DMA,Death Growth,Death Growth 7DMA,Total Recoveries,New Recoveries,Recovery Rate,Active Cases,Case Fatality Rate (CFR),Adjusted CFR,Total Deaths per MM Population,Total Cases per MM Population,Active Cases per ICU Bed
1/25/2020,3,3,3,0,0,0,0,0,0,0,0,0,0%,3,0%,0,0,0.09,
1/26/2020,4,1,2,33.33%,16.67%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/27/2020,4,0,1.333333333,0,11.11%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/28/2020,4,0,1,0,8.33%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/29/2020,7,3,1.4,75%,21.67%,0,0,0,0,0,0,0,0%,7,0%,0,0,0.22,
1/30/2020,8,1,1.333333333,14.29%,20.44%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
1/31/2020,8,0,1.142857143,0,17.52%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/1/2020,8,0,0.714285714,0,17.52%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/2/2020,8,0,0.571428571,0,12.76%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/3/2020,8,0,0.571428571,0,12.76%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/4/2020,10,2,0.857142857,25%,16.33%,0,0,0,0,0,0,0,0%,10,0%,0,0,0.31,
2/5/2020,12,2,0.714285714,20%,8.47%,0,0,0,0,0,0,0,0%,12,0%,0,0,0.37,
2/6/2020,12,0,0.571428571,0,6.43%,0,0,0,0,0,0,0,0%,12,0%,0,0,0.37,
2/7/2020,12,0,0.571428571,0,6.43%,0,0,0,0,0,1,1,8.33%,11,0%,0%,0,0.37,
2/8/2020,16,4,1.142857143,33.33%,11.19%,0,0,0,0,0,1,0,6.25%,15,0%,0%,0,0.49,
2/9/2020,16,0,1.142857143,0,11.19%,0,0,0,0,0,1,0,6.25%,15,0%,0%,0,0.49,
2/10/2020,18,2,1.428571429,12.50%,12.98%,0,0,0,0,0,1,0,5.56%,17,0%,0%,0,0.56,
2/11/2020,18,0,1.142857143,0,9.40%,0,0,0,0,0,3,2,16.67%,15,0%,0%,0,0.56,
